UniProtId	Type	Annotations
Q96R30	Multi-pass membrane protein	None
Q8NGL9	Multi-pass membrane protein	None
Q8NGI4	Multi-pass membrane protein	None
Q9Y619	Multi-pass membrane protein	None
Q9ER64	Single-pass membrane protein	ECO:0000250|UniProtKB:Q9H0X9
B9EJ86	Single-pass membrane protein	ECO:0000250|UniProtKB:Q9BZF1
Q8R000	Multi-pass membrane protein	None
Q8BGT0	Single-pass membrane protein	ECO:0000269|PubMed:12627228, ECO:0000269|PubMed:16525474
Q80SX5	Multi-pass membrane protein	ECO:0000305
P97926	Multi-pass membrane protein	None
Q96RD6	Multi-pass membrane protein	ECO:0000305
O54901	Single-pass membrane protein	None
P58308	Multi-pass membrane protein	ECO:0000250|UniProtKB:O43614
P51582	Multi-pass membrane protein	None
Q9ERK9	Multi-pass membrane protein	None
Q96FE7	Single-pass membrane protein	ECO:0000269|PubMed:19088825
Q9NXG6	Single-pass membrane protein	ECO:0000269|PubMed:12163023, ECO:0000269|PubMed:17726031
Q5F267	Single-pass membrane protein	ECO:0000305
Q4QQM4	Multi-pass membrane protein	ECO:0000305
Q9JIP4	Multi-pass membrane protein	ECO:0000305
Q9BZA7	Single-pass membrane protein	ECO:0000305
Q6PEM8	Multi-pass membrane protein	ECO:0000269|PubMed:16143108
Q9WUK7	Multi-pass membrane protein	None
P41143	Multi-pass membrane protein	ECO:0000269|PubMed:22184124, ECO:0000269|PubMed:7808419, ECO:0000269|PubMed:8201839
P35372	Multi-pass membrane protein	ECO:0000269|PubMed:10529478, ECO:0000269|PubMed:12589820, ECO:0000269|PubMed:16580639, ECO:0000269|PubMed:7891175, ECO:0000269|PubMed:7905839, ECO:0000269|PubMed:7957926, ECO:0000269|PubMed:9689128
P03999	Multi-pass membrane protein	None
Q9Y585	Multi-pass membrane protein	None
Q8NGR6	Multi-pass membrane protein	None
P34982	Multi-pass membrane protein	ECO:0000269|PubMed:16820410
Q6IF42	Multi-pass membrane protein	None
P58173	Multi-pass membrane protein	None
Q9H210	Multi-pass membrane protein	None
Q8NGZ5	Multi-pass membrane protein	None
Q5TZ20	Multi-pass membrane protein	None
Q8NGU4	Multi-pass membrane protein	None
O76002	Multi-pass membrane protein	None
O43869	Multi-pass membrane protein	None
O95007	Multi-pass membrane protein	None
Q9NZP2	Multi-pass membrane protein	None
A6NF89	Multi-pass membrane protein	None
Q8NGY3	Multi-pass membrane protein	None
Q8NGY6	Multi-pass membrane protein	None
O60412	Multi-pass membrane protein	None
Q8NGA0	Multi-pass membrane protein	None
Q8NGG7	Multi-pass membrane protein	None
Q8NGG6	Multi-pass membrane protein	None
Q15617	Multi-pass membrane protein	None
Q8NGG1	Multi-pass membrane protein	ECO:0000305
Q8NH50	Multi-pass membrane protein	None
Q8NH10	Multi-pass membrane protein	None
Q8NGT5	Multi-pass membrane protein	None
Q6P8G8	Multi-pass membrane protein	ECO:0000250
Q53FV1	Multi-pass membrane protein	ECO:0000269|PubMed:12093374
Q86WC4	Single-pass membrane protein	ECO:0000269|PubMed:21527911
Q9JJE4	Multi-pass membrane protein	ECO:0000305
Q6TCG2	Multi-pass membrane protein	ECO:0000305
Q15546	Multi-pass membrane protein	ECO:0000250
O88634	Multi-pass membrane protein	None
Q8N6Y1	Single-pass membrane protein	ECO:0000250
Q9UN72	Single-pass membrane protein	ECO:0000250|UniProtKB:Q91Y13
Q9Y5H6	Single-pass membrane protein	ECO:0000250
Q9Y5I2	Single-pass membrane protein	ECO:0000250
Q9Y5E4	Single-pass membrane protein	ECO:0000250
Q9Y5E2	Single-pass membrane protein	ECO:0000250
Q9NRJ7	Single-pass membrane protein	ECO:0000250
Q9Y5I4	Single-pass membrane protein	ECO:0000250
Q91XY4	Single-pass membrane protein	ECO:0000250|UniProtKB:O88689
Q9Y5H3	Single-pass membrane protein	ECO:0000250
Q9Y5G3	Single-pass membrane protein	ECO:0000250
Q9Y5G0	Single-pass membrane protein	ECO:0000250
Q9HC56	Single-pass membrane protein	ECO:0000250
Q96NT5	Multi-pass membrane protein	ECO:0000250
Q62053	Multi-pass membrane protein	None
P30557	Multi-pass membrane protein	None
Q92968	Single-pass membrane protein	ECO:0000269|PubMed:11390669
Q91XC9	Multi-pass membrane protein	ECO:0000250
Q9QXY9	Multi-pass membrane protein	None
Q75T13	Multi-pass membrane protein	ECO:0000250
Q9UHJ9	Multi-pass membrane protein	ECO:0000250
Q6IMP4	Multi-pass membrane protein	ECO:0000305
Q6UWI2	Single-pass membrane protein	ECO:0000269|PubMed:18027867
Q96RV3	Multi-pass membrane protein	ECO:0000305
Q5DU28	Multi-pass membrane protein	ECO:0000305
Q9BQ51	Single-pass membrane protein	ECO:0000305|PubMed:15253154
Q9NZ53	Single-pass membrane protein	ECO:0000305
Q9H300	Multi-pass membrane protein	ECO:0000269|PubMed:17116872
Q80TF3	Single-pass membrane protein	ECO:0000250
Q9UN73	Single-pass membrane protein	ECO:0000250
Q9Y5F3	Single-pass membrane protein	ECO:0000250
Q91XZ4	Single-pass membrane protein	ECO:0000269|PubMed:27161523
Q91XZ2	Single-pass membrane protein	ECO:0000305|PubMed:27161523
Q9Y5F0	Single-pass membrane protein	ECO:0000250
Q91Y02	Single-pass membrane protein	ECO:0000305
Q9Y5H4	Single-pass membrane protein	ECO:0000250
Q9Y5H1	Single-pass membrane protein	ECO:0000250
Q9Y5G8	Single-pass membrane protein	ECO:0000250
Q9Y5G2	Single-pass membrane protein	ECO:0000250
Q9Y5G1	Single-pass membrane protein	ECO:0000250
Q3UVY5	Multi-pass membrane protein	ECO:0000305
Q9NZQ7	Single-pass membrane protein	ECO:0000269|PubMed:15780196
Q9UBM1	Multi-pass membrane protein	ECO:0000269|PubMed:20860552
Q96RD7	Multi-pass membrane protein	ECO:0000305
Q6TCG8	Multi-pass membrane protein	ECO:0000269|PubMed:17724343
Q6TCH4	Multi-pass membrane protein	ECO:0000305
Q8IY49	Multi-pass membrane protein	ECO:0000269|PubMed:22339580
Q9CQY7	Multi-pass membrane protein	ECO:0000250
Q3TFD2	Single-pass membrane protein	ECO:0000269|PubMed:16704971
O55134	Single-pass membrane protein	None
Q99PJ1	Single-pass membrane protein	ECO:0000269|PubMed:21436032, ECO:0000269|PubMed:23217710
Q8VHR0	Single-pass membrane protein	ECO:0000250
Q8BIZ0	Single-pass membrane protein	ECO:0000250
Q9Y5I3	Single-pass membrane protein	ECO:0000250
Q9Y5H8	Single-pass membrane protein	ECO:0000250
Q9UN74	Single-pass membrane protein	ECO:0000250|UniProtKB:O88689
Q9Y5H7	Single-pass membrane protein	ECO:0000250
Q9Y5E7	Single-pass membrane protein	ECO:0000250
Q9Y5E5	Single-pass membrane protein	ECO:0000250
Q9UN67	Single-pass membrane protein	ECO:0000250
Q9Y5F1	Single-pass membrane protein	ECO:0000250
Q9Y5E8	Single-pass membrane protein	ECO:0000250
O60330	Single-pass membrane protein	ECO:0000250
Q9UN70	Single-pass membrane protein	ECO:0000250
O60245	Single-pass membrane protein	None
Q92824	Single-pass membrane protein	ECO:0000250
Q9WUL5	Single-pass membrane protein	ECO:0000250|UniProtKB:Q9BQ51
Q13258	Multi-pass membrane protein	ECO:0000305
Q02242	Single-pass membrane protein	None
Q62011	Single-pass membrane protein	ECO:0000269|PubMed:10574709
Q9ESF1	Single-pass membrane protein	None
Q7RTS5	Multi-pass membrane protein	ECO:0000305
O43613	Multi-pass membrane protein	ECO:0000269|PubMed:26950369, ECO:0000269|PubMed:9491897
P56373	Multi-pass membrane protein	None
O54803	Multi-pass membrane protein	None
Q99572	Multi-pass membrane protein	ECO:0000269|PubMed:12107182
Q8CEG0	Multi-pass membrane protein	ECO:0000305
P55086	Multi-pass membrane protein	ECO:0000250
Q7L5N7	Single-pass membrane protein	ECO:0000269|PubMed:21498505
Q96QZ0	Multi-pass membrane protein	ECO:0000305
Q5QFB9	Multi-pass membrane protein	ECO:0000305
P25116	Multi-pass membrane protein	None
Q96RI0	Multi-pass membrane protein	None
Q9P2E7	Single-pass membrane protein	ECO:0000250
E9PVD3	Single-pass membrane protein	ECO:0000250
Q8TAB3	Single-pass membrane protein	ECO:0000250
Q9Y5H9	Single-pass membrane protein	ECO:0000250
Q9Y5H5	Single-pass membrane protein	ECO:0000250
Q91Y20	Single-pass membrane protein	ECO:0000303|PubMed:11230163
Q9Y5I1	Single-pass membrane protein	ECO:0000250
Q9Y5I0	Single-pass membrane protein	ECO:0000250
Q9Y5E6	Single-pass membrane protein	ECO:0000250
Q9UN66	Single-pass membrane protein	ECO:0000250|UniProtKB:Q91XZ2
Q9Y5E9	Single-pass membrane protein	ECO:0000250
Q9H158	Single-pass membrane protein	ECO:0000250
Q9Y5H0	Single-pass membrane protein	ECO:0000250
Q9Y5G6	Single-pass membrane protein	ECO:0000250
Q9Y5G4	Single-pass membrane protein	ECO:0000250
Q9Y5F6	Single-pass membrane protein	ECO:0000250
Q08174	Single-pass membrane protein	ECO:0000305
Q7TSK3	Single-pass membrane protein	ECO:0000250
Q9Y5Y4	Multi-pass membrane protein	ECO:0000305
Q5VY43	Single-pass membrane protein	ECO:0000305
Q8VIK5	Single-pass membrane protein	ECO:0000250
Q9NPG4	Single-pass membrane protein	None
Q96QU1	Single-pass membrane protein	ECO:0000250
Q96JQ0	Single-pass membrane protein	ECO:0000250
O14917	Single-pass membrane protein	ECO:0000250
Q6V1P9	Single-pass membrane protein	ECO:0000305
O88689	Single-pass membrane protein	ECO:0000269|PubMed:9655502
Q91Y13	Single-pass membrane protein	ECO:0000269|PubMed:27161523
Q91Y11	Single-pass membrane protein	ECO:0000303|PubMed:11230163
Q9UN75	Single-pass membrane protein	ECO:0000250
Q9Y5E3	Single-pass membrane protein	ECO:0000250|UniProtKB:Q91XZ4
Q9Y5E1	Single-pass membrane protein	ECO:0000250
Q9Y5F2	Single-pass membrane protein	ECO:0000250
Q6PB90	Single-pass membrane protein	ECO:0000305
Q96TA0	Single-pass membrane protein	ECO:0000305
Q9Y5G9	Single-pass membrane protein	ECO:0000250
Q9Y5G7	Single-pass membrane protein	ECO:0000250
Q9Y5G5	Single-pass membrane protein	ECO:0000250
Q9Z0X4	Multi-pass membrane protein	ECO:0000305
Q9CQH0	Single-pass membrane protein	ECO:0000250
P07202	Single-pass membrane protein	None
Q96FM1	Multi-pass membrane protein	ECO:0000305|PubMed:12460457
Q8BWM0	Single-pass membrane protein	ECO:0000250|UniProtKB:Q9H7Z7
P26618	Single-pass membrane protein	ECO:0000250
Q5VU65	Single-pass membrane protein	ECO:0000305
P51575	Multi-pass membrane protein	None
Q8K3P1	Multi-pass membrane protein	ECO:0000269|PubMed:17706883
O15547	Multi-pass membrane protein	None
P35383	Multi-pass membrane protein	None
Q9JJS7	Multi-pass membrane protein	None
Q86VZ1	Multi-pass membrane protein	None
Q96G91	Multi-pass membrane protein	None
Q9CPV9	Multi-pass membrane protein	None
Q9D8I2	Multi-pass membrane protein	None
Q8BG58	Single-pass membrane protein	ECO:0000250
Q8N4S7	Multi-pass membrane protein	ECO:0000305
Q6ZVX9	Multi-pass membrane protein	ECO:0000305
Q8R189	Multi-pass membrane protein	ECO:0000250
O08675	Multi-pass membrane protein	None
Q04592	Single-pass membrane protein	None
Q16549	Single-pass membrane protein	ECO:0000250
Q14432	Multi-pass membrane protein	ECO:0000305
Q5XKP0	Single-pass membrane protein	ECO:0000269|PubMed:25997101
Q9DCZ4	Single-pass membrane protein	ECO:0000250|UniProtKB:Q9BUR5
Q8VCX5	Single-pass membrane protein	ECO:0000250|UniProtKB:Q9BPX6
Q4QQM5	Multi-pass membrane protein	ECO:0000250|UniProtKB:Q8NAN2
P30301	Multi-pass membrane protein	ECO:0000269|PubMed:23116563, ECO:0000269|PubMed:24120416, ECO:0000269|PubMed:25946197
Q8IXI1	Single-pass membrane protein	ECO:0000269|PubMed:12482879, ECO:0000269|PubMed:19528298
Q9CV60	Single-pass membrane protein	ECO:0000269|PubMed:25640239
P22897	Single-pass membrane protein	ECO:0000269|PubMed:20035344
Q9UBG0	Single-pass membrane protein	None
Q91WW3	Multi-pass membrane protein	None
Q91ZC4	Multi-pass membrane protein	None
Q3UG61	Multi-pass membrane protein	ECO:0000305
Q8TDS7	Multi-pass membrane protein	ECO:0000269|PubMed:15037633
Q91ZB7	Multi-pass membrane protein	None
Q96AM1	Multi-pass membrane protein	None
Q99MT8	Multi-pass membrane protein	None
Q96LB2	Multi-pass membrane protein	None
A2AVR2	Multi-pass membrane protein	ECO:0000305
Q96J65	Multi-pass membrane protein	ECO:0000255|PROSITE-ProRule:PRU00441
Q8R404	Single-pass membrane protein	ECO:0000250|UniProtKB:Q5XKP0
Q6UXV4	Multi-pass membrane protein	ECO:0000269|PubMed:23704930, ECO:0000269|PubMed:25764979
Q29983	Single-pass membrane protein	ECO:0000269|PubMed:10363723, ECO:0000269|PubMed:18287244, ECO:0000269|PubMed:8901601
Q7L4E1	Multi-pass membrane protein	ECO:0000269|PubMed:26711011
Q7Z6M3	Single-pass membrane protein	ECO:0000269|PubMed:20526344
Q8NCK7	Multi-pass membrane protein	ECO:0000269|PubMed:24390345
Q99MS3	Multi-pass membrane protein	ECO:0000269|PubMed:12471025
Q2M385	Single-pass membrane protein	ECO:0000305
Q53F39	Multi-pass membrane protein	ECO:0000269|PubMed:19837036
P24668	Single-pass membrane protein	None
Q9NXK6	Multi-pass membrane protein	ECO:0000250
Q07113	Single-pass membrane protein	None
Q9HD23	Multi-pass membrane protein	ECO:0000269|PubMed:11401429, ECO:0000305|PubMed:18384665
P21757	Single-pass membrane protein	None
Q6ZQI3	Single-pass membrane protein	ECO:0000250
Q8N4V1	Multi-pass membrane protein	ECO:0000269|PubMed:22119785
O54732	Single-pass membrane protein	ECO:0000305
Q9Y5R2	Single-pass membrane protein	ECO:0000250
Q6XJV6	Single-pass membrane protein	ECO:0000305
Q6XJV4	Single-pass membrane protein	ECO:0000305
Q13724	Single-pass membrane protein	None
O60669	Multi-pass membrane protein	ECO:0000269|PubMed:15505343, ECO:0000269|PubMed:9786900
G5E8K6	Multi-pass membrane protein	ECO:0000250
Q7TT41	Single-pass membrane protein	ECO:0000305
O95563	Multi-pass membrane protein	ECO:0000269|PubMed:22628558
Q9DCU0	Multi-pass membrane protein	ECO:0000250
Q96LB1	Multi-pass membrane protein	ECO:0000255
Q9H3V2	Multi-pass membrane protein	None
Q01726	Multi-pass membrane protein	None
Q8C160	Single-pass membrane protein	ECO:0000305
Q75NE6	Single-pass membrane protein	ECO:0000305
Q8IXI2	Single-pass membrane protein	ECO:0000269|PubMed:12482879, ECO:0000269|PubMed:19528298
Q15049	Multi-pass membrane protein	ECO:0000305
Q14165	Single-pass membrane protein	ECO:0000250
Q9R0S2	Single-pass membrane protein	ECO:0000269|PubMed:14990567
Q9CXI3	Single-pass membrane protein	ECO:0000269|PubMed:15337741
Q9Y5U8	Multi-pass membrane protein	ECO:0000269|PubMed:22628558
Q8TEZ7	Multi-pass membrane protein	ECO:0000269|PubMed:11676489
P20645	Single-pass membrane protein	None
Q9R0Q9	Multi-pass membrane protein	ECO:0000305
O60487	Single-pass membrane protein	ECO:0000305
Q9D159	Single-pass membrane protein	ECO:0000250
Q5JRA6	Single-pass membrane protein	ECO:0000269|PubMed:19269366, ECO:0000269|PubMed:21525241
Q78IK4	Multi-pass membrane protein	ECO:0000250|UniProtKB:Q6UXV4
Q9BPX6	Single-pass membrane protein	ECO:0000269|PubMed:20693986, ECO:0000269|PubMed:24332854, ECO:0000269|PubMed:26387864, ECO:0000269|PubMed:26774479, ECO:0000269|PubMed:27099988, ECO:0000305|PubMed:24231807
Q9JLI3	Single-pass membrane protein	ECO:0000269|PubMed:10542292
Q8R3L0	Multi-pass membrane protein	ECO:0000269|PubMed:18057121
Q96PD6	Multi-pass membrane protein	ECO:0000250
Q80W94	Multi-pass membrane protein	ECO:0000269|PubMed:14966132
Q3U9N9	Multi-pass membrane protein	ECO:0000269|PubMed:16245314
Q7RTX9	Multi-pass membrane protein	ECO:0000250
P53986	Multi-pass membrane protein	ECO:0000269|PubMed:21792931, ECO:0000269|PubMed:8603082
O95907	Multi-pass membrane protein	None
O15427	Multi-pass membrane protein	None
Q8R0M8	Multi-pass membrane protein	ECO:0000250
Q8BG51	Single-pass membrane protein	ECO:0000250
Q495T6	Single-pass membrane protein	ECO:0000250
P50281	Single-pass membrane protein	ECO:0000305
Q3U435	Data unknown	ECO:0000305
Q9ES57	Single-pass membrane protein	None
Q5UKY4	Single-pass membrane protein	ECO:0000305
Q7RTY0	Multi-pass membrane protein	ECO:0000269|PubMed:24390345
O15374	Multi-pass membrane protein	None
O70324	Multi-pass membrane protein	ECO:0000250|UniProtKB:Q8K1P8
Q00325	Multi-pass membrane protein	None
Q80XL7	Multi-pass membrane protein	ECO:0000250
Q86WK9	Multi-pass membrane protein	ECO:0000250
Q6UWV2	Single-pass membrane protein	ECO:0000305
Q16653	Single-pass membrane protein	ECO:0000305
Q6ZSM3	Multi-pass membrane protein	ECO:0000269|PubMed:23578822
P53985	Multi-pass membrane protein	ECO:0000269|PubMed:15505343, ECO:0000269|PubMed:17127621, ECO:0000269|PubMed:24390345
O70451	Multi-pass membrane protein	ECO:0000250
P57787	Multi-pass membrane protein	ECO:0000250
O15375	Multi-pass membrane protein	None
P36021	Multi-pass membrane protein	ECO:0000269|PubMed:23550058, ECO:0000269|PubMed:25527620, ECO:0000269|PubMed:26426690
Q8VEM8	Multi-pass membrane protein	None
Q80ZE4	Multi-pass membrane protein	ECO:0000250
P11717	Single-pass membrane protein	ECO:0000269|PubMed:10900005
O70255	Single-pass membrane protein	ECO:0000305
Q8TCY5	Single-pass membrane protein	ECO:0000269|PubMed:15654338
Q3UN70	Single-pass membrane protein	ECO:0000305
Q3UR85	Single-pass membrane protein	None
Q91ZC1	Multi-pass membrane protein	ECO:0000305
Q91ZB9	Multi-pass membrane protein	ECO:0000305
Q8VCJ6	Multi-pass membrane protein	None
P33527	Multi-pass membrane protein	ECO:0000269|PubMed:16230346
Q9R1X5	Multi-pass membrane protein	None
Q8R4P9	Multi-pass membrane protein	ECO:0000250
Q15800	Multi-pass membrane protein	ECO:0000305
Q8NHP6	Single-pass membrane protein	ECO:0000305
Q8BGG6	Multi-pass membrane protein	ECO:0000305
Q96A46	Multi-pass membrane protein	ECO:0000269|PubMed:11297739
Q9BY79	Single-pass membrane protein	ECO:0000250
Q9D2V8	Multi-pass membrane protein	ECO:0000255
Q3T9M1	Multi-pass membrane protein	ECO:0000305
Q96ES6	Multi-pass membrane protein	ECO:0000305
Q921Y4	Multi-pass membrane protein	ECO:0000250
Q8CBH5	Multi-pass membrane protein	ECO:0000305
Q8CE47	Multi-pass membrane protein	ECO:0000305
Q8BH31	Multi-pass membrane protein	ECO:0000250
Q9H2D1	Multi-pass membrane protein	None
Q812G0	Single-pass membrane protein	ECO:0000250
Q3TB92	Single-pass membrane protein	ECO:0000269|PubMed:20526344
P51180	Multi-pass membrane protein	ECO:0000250|UniProtKB:P30301
Q8BR76	Multi-pass membrane protein	ECO:0000305
Q8VHK5	Multi-pass membrane protein	ECO:0000305
P0DMT0	Single-pass membrane protein	ECO:0000250|UniProtKB:Q9CV60
P51512	Single-pass membrane protein	ECO:0000305
O88676	Single-pass membrane protein	ECO:0000250
Q8TD46	Single-pass membrane protein	None
Q6Q8B3	Single-pass membrane protein	ECO:0000305
Q8BTP3	Single-pass membrane protein	ECO:0000305
Q9D023	Multi-pass membrane protein	ECO:0000269|PubMed:22628554
Q61830	Single-pass membrane protein	ECO:0000250
Q64449	Single-pass membrane protein	None
Q91WW4	Multi-pass membrane protein	None
Q91ZC5	Multi-pass membrane protein	None
Q3KNA1	Multi-pass membrane protein	ECO:0000305
Q80WJ6	Multi-pass membrane protein	ECO:0000255|PROSITE-ProRule:PRU00441
Q5NCE8	Multi-pass membrane protein	ECO:0000250|UniProtKB:Q9HD23
Q9Y6F6	Single-pass membrane protein	ECO:0000250
Q96HJ5	Multi-pass membrane protein	ECO:0000250
Q8VEL0	Multi-pass membrane protein	ECO:0000305
P30204	Single-pass membrane protein	None
Q9H9K5	Single-pass membrane protein	ECO:0000305
O00587	Single-pass membrane protein	ECO:0000250
P10620	Multi-pass membrane protein	ECO:0000250
Q812F8	Single-pass membrane protein	ECO:0000250
A6NG13	Single-pass membrane protein	ECO:0000250|UniProtKB:Q4V8F8
Q9CTY5	Single-pass membrane protein	ECO:0000305
Q9NQG6	Single-pass membrane protein	ECO:0000269|PubMed:21508961, ECO:0000269|PubMed:21701560, ECO:0000269|PubMed:24515348
Q8NAN2	Single-pass membrane protein	ECO:0000269|PubMed:26711011
Q8BK03	Multi-pass membrane protein	ECO:0000250|UniProtKB:Q7L4E1
P51511	Single-pass membrane protein	ECO:0000305
Q791V5	Multi-pass membrane protein	ECO:0000305
O43193	Multi-pass membrane protein	None
Q13585	Multi-pass membrane protein	None
Q04900	Single-pass membrane protein	ECO:0000269|PubMed:11027692
Q02505	Single-pass membrane protein	ECO:0000255
Q9BRK3	Single-pass membrane protein	None
Q01727	Multi-pass membrane protein	None
Q96KJ4	Single-pass membrane protein	ECO:0000305
Q9UJG1	Multi-pass membrane protein	ECO:0000305
O88495	Multi-pass membrane protein	None
E2RYF6	Single-pass membrane protein	ECO:0000305
Q9R0H2	Single-pass membrane protein	ECO:0000305
Q9ULC0	Single-pass membrane protein	ECO:0000305
O15146	Single-pass membrane protein	ECO:0000269|PubMed:23326516
O35682	Multi-pass membrane protein	ECO:0000305
Q3UHK1	Multi-pass membrane protein	ECO:0000250
O75352	Multi-pass membrane protein	ECO:0000305
P39210	Multi-pass membrane protein	ECO:0000269|PubMed:16582907, ECO:0000269|PubMed:16582910
D3Z1Q2	Single-pass membrane protein	ECO:0000250
Q9Y2G1	Single-pass membrane protein	None
Q91WW5	Multi-pass membrane protein	ECO:0000269|PubMed:11551509
Q91ZC6	Multi-pass membrane protein	None
Q7TN51	Multi-pass membrane protein	ECO:0000305
Q8VI47	Multi-pass membrane protein	ECO:0000250
O15438	Multi-pass membrane protein	None
O15440	Multi-pass membrane protein	None
O95255	Single-pass membrane protein	ECO:0000269|PubMed:12901863, ECO:0000269|PubMed:23625951
Q9WUX5	Single-pass membrane protein	ECO:0000305
Q791T5	Multi-pass membrane protein	ECO:0000305
P49286	Multi-pass membrane protein	None
Q13505	Single-pass membrane protein	ECO:0000305
Q9H3R2	Single-pass membrane protein	ECO:0000269|PubMed:11278439
P15941	Single-pass membrane protein	ECO:0000269|PubMed:11118479, ECO:0000269|PubMed:12832415, ECO:0000269|PubMed:12939402, ECO:0000269|PubMed:15471854, ECO:0000269|PubMed:15972891, ECO:0000269|PubMed:16507569, ECO:0000269|PubMed:17524503, ECO:0000269|PubMed:17545600
Q99102	Single-pass membrane protein	ECO:0000305
Q3SYC2	Multi-pass membrane protein	ECO:0000269|PubMed:12621063
Q8TF71	Multi-pass membrane protein	ECO:0000269|PubMed:11827462
Q8CE94	Multi-pass membrane protein	ECO:0000250|UniProtKB:Q7RTY0
B1AT66	Multi-pass membrane protein	ECO:0000250
Q7RTY1	Multi-pass membrane protein	ECO:0000250
Q2QL34	Multi-pass membrane protein	ECO:0000269|PubMed:16631601
P0DKB6	Multi-pass membrane protein	ECO:0000305
A1L314	Single-pass membrane protein	ECO:0000305
Q3TEW6	Single-pass membrane protein	ECO:0000305
Q3V3F6	Single-pass membrane protein	ECO:0000305
Q920C4	Multi-pass membrane protein	None
O75425	Multi-pass membrane protein	ECO:0000305
Q9UDX5	Multi-pass membrane protein	ECO:0000305|PubMed:15155745, ECO:0000305|PubMed:15985469
Q61184	Multi-pass membrane protein	None
P47802	Data unknown	ECO:0000269|PubMed:9045676
Q80ZE5	Multi-pass membrane protein	ECO:0000250
Q96LU7	Single-pass membrane protein	ECO:0000305
Q91ZC0	Multi-pass membrane protein	ECO:0000305
Q96LB0	Multi-pass membrane protein	None
Q68CQ1	Multi-pass membrane protein	ECO:0000305
O15439	Multi-pass membrane protein	None
Q9R1S7	Multi-pass membrane protein	ECO:0000269|PubMed:23625951
Q91WW2	Multi-pass membrane protein	ECO:0000269|PubMed:11551509
Q91ZB8	Multi-pass membrane protein	None
Q86SM5	Multi-pass membrane protein	None
Q3UG50	Multi-pass membrane protein	ECO:0000255
Q96LA9	Multi-pass membrane protein	None
Q9GZW8	Multi-pass membrane protein	None
Q9Y6C9	Multi-pass membrane protein	ECO:0000305
P48039	Multi-pass membrane protein	None
Q8CIQ6	Multi-pass membrane protein	None
P19467	Single-pass membrane protein	ECO:0000305
Q8C6Z1	Single-pass membrane protein	ECO:0000305
Q8WXI7	Single-pass membrane protein	None
P43121	Single-pass membrane protein	None
Q02496	Single-pass membrane protein	ECO:0000250
Q9H195	Single-pass membrane protein	ECO:0000305
Q8JZM8	Single-pass membrane protein	ECO:0000250
Q8VCM5	Multi-pass membrane protein	ECO:0000250
Q96S97	Multi-pass membrane protein	ECO:0000305
Q80UM7	Single-pass membrane protein	ECO:0000250
Q91ZV4	Multi-pass membrane protein	ECO:0000305|PubMed:12077311
Q86VF5	Multi-pass membrane protein	ECO:0000250
Q61885	Multi-pass membrane protein	None
Q6UVY6	Single-pass membrane protein	ECO:0000250
P19258	Multi-pass membrane protein	ECO:0000250
O95297	Single-pass membrane protein	ECO:0000305
Q96G30	Single-pass membrane protein	ECO:0000269|PubMed:19329486
Q91ZC7	Multi-pass membrane protein	None
Q86SM8	Multi-pass membrane protein	None
Q91ZB5	Multi-pass membrane protein	None
Q8CIP3	Multi-pass membrane protein	ECO:0000305
O35379	Multi-pass membrane protein	ECO:0000250
Q92887	Multi-pass membrane protein	ECO:0000269|PubMed:11093739
B2RX12	Multi-pass membrane protein	ECO:0000255|PROSITE-ProRule:PRU00441
Q5T3U5	Multi-pass membrane protein	ECO:0000269|PubMed:12566991, ECO:0000269|PubMed:15256465
Q9CRA4	Multi-pass membrane protein	ECO:0000305
Q5NC32	Multi-pass membrane protein	ECO:0000250|UniProtKB:Q8NCK7
Q8BGC3	Multi-pass membrane protein	ECO:0000250|UniProtKB:Q6ZSM3
Q8K1C7	Multi-pass membrane protein	ECO:0000250
O35308	Multi-pass membrane protein	None
O15403	Multi-pass membrane protein	None
Q7TM99	Multi-pass membrane protein	ECO:0000250
P63030	Multi-pass membrane protein	ECO:0000269|PubMed:22628554
Q9CWP6	Single-pass membrane protein	ECO:0000305
Q9UHF3	Single-pass membrane protein	None
Q9UHE5	Single-pass membrane protein	None
P70232	Single-pass membrane protein	None
O60721	Multi-pass membrane protein	None
Q8NFF2	Multi-pass membrane protein	ECO:0000250|UniProtKB:Q8CGQ8
Q5T1S8	Single-pass membrane protein	ECO:0000250
Q9CRB8	Multi-pass membrane protein	ECO:0000305
Q9NZJ7	Multi-pass membrane protein	ECO:0000305
Q8N387	Single-pass membrane protein	ECO:0000305
Q685J3	Single-pass membrane protein	ECO:0000305
Q8R2Y2	Single-pass membrane protein	ECO:0000250
Q9R0L9	Single-pass membrane protein	ECO:0000250|UniProtKB:Q04900
Q969V5	Multi-pass membrane protein	None
P60201	Multi-pass membrane protein	ECO:0000269|PubMed:24103481
Q9CZH7	Single-pass membrane protein	ECO:0000305
Q96QE2	Multi-pass membrane protein	ECO:0000269|PubMed:11500374
S4R2P9	Multi-pass membrane protein	ECO:0000269|PubMed:14722618, ECO:0000269|PubMed:24101730
Q8BXR5	Multi-pass membrane protein	ECO:0000305
Q9UQQ1	Single-pass membrane protein	None
Q8N9F0	Single-pass membrane protein	ECO:0000305
Q9CRA0	Single-pass membrane protein	ECO:0000305
Q8WUY8	Single-pass membrane protein	ECO:0000305
Q8C567	Single-pass membrane protein	ECO:0000305
Q9EQW8	Single-pass membrane protein	ECO:0000250
Q9NZM1	Single-pass membrane protein	ECO:0000250
